 ,Area,Aspect Ratio,Slope,Mean misorient. angle,Volumen,a_dia,c_dia,b_dia,a,c,b,,Totalvol,boxsize 
1,17.584,2.208,,,82.4149268,7.031,3.184,7.031,3.5155,1.592,3.5155,,220409.1018,60.40550344
2,49.472,1.655,,,336.7054872,10.209,6.17,10.209,5.1045,3.085,5.1045,,,
3,67.801,2.233,,,627.5032614,13.883,6.218,13.883,6.9415,3.109,6.9415,,,
4,12.65,1.289,,,38.42582713,4.557,3.534,4.557,2.2785,1.767,2.2785,,,
5,119.951,1.263,,,1110.76293,13.891,10.994,13.891,6.9455,5.497,6.9455,,,
6,32.653,2.076,,,202.2195269,9.29,4.475,9.29,4.645,2.2375,4.645,,,
7,308.343,1.34,,,4715.464597,22.939,17.115,22.939,11.4695,8.5575,11.4695,,,
8,97.768,1.355,,,846.5479143,12.989,9.583,12.989,6.4945,4.7915,6.4945,,,
9,60.401,2.94,,,605.4926762,15.036,5.115,15.036,7.518,2.5575,7.518,,,
10,151.705,1.709,,,1837.733766,18.17,10.631,18.17,9.085,5.3155,9.085,,,
11,206.13,1.101,,,2335.95535,16.999,15.439,16.999,8.4995,7.7195,8.4995,,,
12,52.12,2.341,,,433.0634683,12.464,5.324,12.464,6.232,2.662,6.232,,,
13,186.413,4.237,,,3940.757101,31.712,7.484,31.712,15.856,3.742,15.856,,,
14,10.766,2.078,,,38.29905404,5.337,2.568,5.337,2.6685,1.284,2.6685,,,
15,16.36,5.368,,,115.3303103,10.574,1.97,10.574,5.287,0.985,5.287,,,
16,66.329,1.924,,,563.6382743,12.747,6.625,12.747,6.3735,3.3125,6.3735,,,
17,96.859,1.542,,,890.6104463,13.792,8.942,13.792,6.896,4.471,6.896,,,
18,313.268,3.868,,,8203.086321,39.278,10.155,39.278,19.639,5.0775,19.639,,,
19,163.858,1.504,,,1935.100178,17.714,11.778,17.714,8.857,5.889,8.857,,,
20,7.535,2.562,,,24.89530375,4.957,1.935,4.957,2.4785,0.9675,2.4785,,,
21,15.796,2.046,,,67.55064324,6.415,3.135,6.415,3.2075,1.5675,3.2075,,,
22,15.997,2.198,,,71.35515111,6.691,3.044,6.691,3.3455,1.522,3.3455,,,
23,9.982,2.838,,,39.96547154,6.006,2.116,6.006,3.003,1.058,3.003,,,
24,25.09,2.591,,,152.1771755,9.097,3.512,9.097,4.5485,1.756,4.5485,,,
25,31.391,1.653,,,170.0778144,8.127,4.918,8.127,4.0635,2.459,4.0635,,,
26,23.13,2.194,,,123.951016,8.038,3.664,8.038,4.019,1.832,4.019,,,
27,72.477,2.403,,,719.5917466,14.892,6.197,14.892,7.446,3.0985,7.446,,,
28,2.687,1.33,,,3.82106739,2.133,1.604,2.133,1.0665,0.802,1.0665,,,
29,82.02,1.852,,,760.4096785,13.907,7.509,13.907,6.9535,3.7545,6.9535,,,
30,13.147,1.584,,,45.1295887,5.149,3.251,5.149,2.5745,1.6255,2.5745,,,
31,79.275,2.204,,,788.2196362,14.914,6.768,14.914,7.457,3.384,7.457,,,
32,8.213,2.358,,,27.18288168,4.965,2.106,4.965,2.4825,1.053,2.4825,,,
33,35.397,1.194,,,173.081267,7.335,6.144,7.335,3.6675,3.072,3.6675,,,
34,33.762,1.511,,,181.4462715,8.061,5.333,8.061,4.0305,2.6665,4.0305,,,
35,37.654,1.667,,,224.388435,8.94,5.362,8.94,4.47,2.681,4.47,,,
36,64.312,1.539,,,481.2786738,11.225,7.295,11.225,5.6125,3.6475,5.6125,,,
37,86.791,1.525,,,751.0721406,12.98,8.514,12.98,6.49,4.257,6.49,,,
38,114.386,1.243,,,1026.072948,13.456,10.823,13.456,6.728,5.4115,6.728,,,
39,64.139,1.6,,,488.7744748,11.431,7.144,11.431,5.7155,3.572,5.7155,,,
40,86.351,2.099,,,874.4455033,15.19,7.238,15.19,7.595,3.619,7.595,,,
41,9.695,1.853,,,30.91629115,4.783,2.581,4.783,2.3915,1.2905,2.3915,,,
42,62.753,1.47,,,453.3563972,10.836,7.374,10.836,5.418,3.687,5.418,,,
43,65.717,1.806,,,538.5170724,12.292,6.807,12.292,6.146,3.4035,6.146,,,
44,56.117,1.567,,,395.8665451,10.581,6.753,10.581,5.2905,3.3765,5.2905,,,
45,22.929,2.063,,,118.6459124,7.761,3.762,7.761,3.8805,1.881,3.8805,,,
46,41.488,1.643,,,257.6463463,9.315,5.671,9.315,4.6575,2.8355,4.6575,,,
47,17.632,2.952,,,95.70803366,8.141,2.758,8.141,4.0705,1.379,4.0705,,,
48,222.241,2.258,,,3745.151097,25.278,11.194,25.278,12.639,5.597,12.639,,,
49,94.918,1.325,,,800.804109,12.655,9.55,12.655,6.3275,4.775,6.3275,,,
50,78.625,1.331,,,604.9297206,11.541,8.674,11.541,5.7705,4.337,5.7705,,,
51,159.048,1.921,,,2091.384601,19.725,10.266,19.725,9.8625,5.133,9.8625,,,
52,91.83,1.527,,,818.1154836,13.363,8.75,13.363,6.6815,4.375,6.6815,,,
53,214.324,2.165,,,3473.138607,24.308,11.226,24.308,12.154,5.613,12.154,,,
54,111.087,2.502,,,1392.952471,18.81,7.519,18.81,9.405,3.7595,9.405,,,
55,132.419,2.666,,,1871.667305,21.202,7.952,21.202,10.601,3.976,10.601,,,
56,32.137,1.703,,,178.8268622,8.347,4.902,8.347,4.1735,2.451,4.1735,,,
57,32.768,2.134,,,206.1517602,9.437,4.421,9.437,4.7185,2.2105,4.7185,,,
58,39.528,1.867,,,255.4134456,9.692,5.193,9.692,4.846,2.5965,4.846,,,
59,54.396,2.728,,,498.4624744,13.745,5.039,13.745,6.8725,2.5195,6.8725,,,
60,67.209,1.336,,,479.0971666,10.692,8.004,10.692,5.346,4.002,5.346,,,
61,18.32,1.465,,,71.39850858,5.846,3.99,5.846,2.923,1.995,2.923,,,
62,20.204,2.193,,,101.1706924,7.511,3.425,7.511,3.7555,1.7125,3.7555,,,
63,71.798,1.382,,,538.0292514,11.241,8.132,11.241,5.6205,4.066,5.6205,,,
64,75.432,1.353,,,573.3276299,11.401,8.424,11.401,5.7005,4.212,5.7005,,,
65,22.651,1.574,,,101.7429685,6.738,4.28,6.738,3.369,2.14,3.369,,,
66,71.425,2.039,,,648.3494567,13.616,6.679,13.616,6.808,3.3395,6.808,,,
67,3.184,1.293,,,4.86007368,2.29,1.77,2.29,1.145,0.885,1.145,,,
68,9.877,1.195,,,25.53119072,3.877,3.244,3.877,1.9385,1.622,1.9385,,,
69,20.471,1.658,,,89.72246846,6.574,3.965,6.574,3.287,1.9825,3.287,,,
70,100.072,1.557,,,939.6264759,14.084,9.047,14.084,7.042,4.5235,7.042,,,
71,75.632,1.556,,,617.2446221,12.242,7.866,12.242,6.121,3.933,6.121,,,
72,373.821,3.292,,,9865.268015,39.585,12.024,39.585,19.7925,6.012,19.7925,,,
73,141.158,2.219,,,1879.472558,19.972,8.999,19.972,9.986,4.4995,9.986,,,
74,121.863,1.333,,,1168.526379,14.383,10.788,14.383,7.1915,5.394,7.1915,,,
75,15.614,1.355,,,54.01720539,5.19,3.83,5.19,2.595,1.915,2.595,,,
76,52.293,2.156,,,417.6676136,11.98,5.558,11.98,5.99,2.779,5.99,,,
77,295.072,2.477,,,6001.116289,30.507,12.315,30.507,15.2535,6.1575,15.2535,,,
78,265.555,1.725,,,4275.146779,24.148,14.002,24.148,12.074,7.001,12.074,,,
79,324.636,3.463,,,8188.560169,37.835,10.925,37.835,18.9175,5.4625,18.9175,,,
80,202.324,1.468,,,2622.797957,19.445,13.248,19.445,9.7225,6.624,9.7225,,,
81,402.392,1.973,,,8529.422751,31.795,16.114,31.795,15.8975,8.057,15.8975,,,
82,56.452,1.88,,,437.5102783,11.626,6.182,11.626,5.813,3.091,5.813,,,
83,115.638,2.866,,,1583.579183,20.541,7.168,20.541,10.2705,3.584,10.2705,,,
84,34.9,3.621,,,295.0877808,12.684,3.503,12.684,6.342,1.7515,6.342,,,
85,26.734,2.335,,,158.9185764,8.916,3.818,8.916,4.458,1.909,4.458,,,
86,102.749,1.708,,,1023.934343,14.948,8.752,14.948,7.474,4.376,7.474,,,
87,72.525,3.13,,,822.0125512,17.002,5.431,17.002,8.501,2.7155,8.501,,,
88,80.987,3.25,,,988.4235311,18.308,5.632,18.308,9.154,2.816,9.154,,,
89,132.008,2.39,,,1763.744189,20.042,8.386,20.042,10.021,4.193,10.021,,,
90,6.416,2.116,,,17.78812395,4.158,1.965,4.158,2.079,0.9825,2.079,,,
91,9.246,1.643,,,27.11174328,4.398,2.677,4.398,2.199,1.3385,2.199,,,
92,1.549,1.291,,,1.648476905,1.596,1.236,1.596,0.798,0.618,0.798,,,
93,6.598,2.057,,,18.28626398,4.157,2.021,4.157,2.0785,1.0105,2.0785,,,
94,14.954,1.245,,,48.54740129,4.869,3.911,4.869,2.4345,1.9555,2.4345,,,
95,26.906,2.531,,,167.0376397,9.312,3.679,9.312,4.656,1.8395,4.656,,,
96,34.604,2.571,,,245.4965948,10.642,4.14,10.642,5.321,2.07,5.321,,,
97,22.068,1.471,,,94.57294448,6.429,4.37,6.429,3.2145,2.185,3.2145,,,
98,59.932,2.764,,,580.2621028,14.522,5.255,14.522,7.261,2.6275,7.261,,,
99,40.905,1.806,,,264.5007006,9.699,5.37,9.699,4.8495,2.685,4.8495,,,
100,13.281,4.027,,,73.05652644,8.252,2.049,8.252,4.126,1.0245,4.126,,,
101,45.265,1.4,,,271.024829,8.982,6.416,8.982,4.491,3.208,4.491,,,
102,22.508,2.455,,,125.8510627,8.387,3.417,8.387,4.1935,1.7085,4.1935,,,
103,7.678,2.434,,,24.96778014,4.878,2.004,4.878,2.439,1.002,2.439,,,
104,54.444,1.483,,,368.0243771,10.14,6.836,10.14,5.07,3.418,5.07,,,
105,54.463,2.037,,,431.555344,11.886,5.834,11.886,5.943,2.917,5.943,,,
106,77.095,2.041,,,727.5533339,14.155,6.935,14.155,7.0775,3.4675,7.0775,,,
107,120.572,2.134,,,1454.970005,18.1,8.482,18.1,9.05,4.241,9.05,,,
108,67.964,1.074,,,436.8852011,9.642,8.975,9.642,4.821,4.4875,4.821,,,
109,36.87,1.259,,,188.965348,7.688,6.106,7.688,3.844,3.053,3.844,,,
110,37.281,2.251,,,256.8653377,10.336,4.592,10.336,5.168,2.296,5.168,,,
111,11.139,1.989,,,39.44809327,5.312,2.67,5.312,2.656,1.335,2.656,,,
112,12.153,3.255,,,57.49164383,7.097,2.18,7.097,3.5485,1.09,3.5485,,,
113,26.228,5.713,,,241.5283187,13.812,2.418,13.812,6.906,1.209,6.906,,,
114,28.455,1.515,,,140.5394445,7.408,4.891,7.408,3.704,2.4455,3.704,,,
115,92.528,1.322,,,769.8387849,12.48,9.44,12.48,6.24,4.72,6.24,,,
116,116.269,1.883,,,1294.04142,16.695,8.867,16.695,8.3475,4.4335,8.3475,,,
117,56.05,2.935,,,540.7427839,14.472,4.931,14.472,7.236,2.4655,7.236,,,
118,53.153,1.684,,,378.2889431,10.675,6.34,10.675,5.3375,3.17,5.3375,,,
119,27.222,2.988,,,184.6704734,10.176,3.406,10.176,5.088,1.703,5.088,,,
120,107.979,1.998,,,1193.224411,16.576,8.294,16.576,8.288,4.147,8.288,,,
121,28.962,1.992,,,165.4748586,8.571,4.302,8.571,4.2855,2.151,4.2855,,,
122,80.652,2.662,,,888.9935725,16.535,6.21,16.535,8.2675,3.105,8.2675,,,
123,25.893,2.487,,,156.3134003,9.055,3.641,9.055,4.5275,1.8205,4.5275,,,
124,50.734,2.248,,,407.5176642,12.049,5.361,12.049,6.0245,2.6805,6.0245,,,
125,64.12,1.774,,,514.4896598,12.035,6.784,12.035,6.0175,3.392,6.0175,,,
126,3.978,2.216,,,8.884643936,3.35,1.512,3.35,1.675,0.756,1.675,,,
127,50.342,2.126,,,391.7554411,11.673,5.491,11.673,5.8365,2.7455,5.8365,,,
128,4.092,1.376,,,7.307395335,2.678,1.946,2.678,1.339,0.973,1.339,,,
129,6.741,1.508,,,16.17302954,3.598,2.386,3.598,1.799,1.193,1.799,,,
130,26.055,1.826,,,135.1750092,7.782,4.263,7.782,3.891,2.1315,3.891,,,
131,29.937,3.512,,,230.9115643,11.569,3.295,11.569,5.7845,1.6475,5.7845,,,
132,81.58,1.792,,,741.9492674,13.643,7.613,13.643,6.8215,3.8065,6.8215,,,
133,33.791,4.501,,,313.566286,13.917,3.092,13.917,6.9585,1.546,6.9585,,,
134,17.947,2.334,,,87.37894298,7.303,3.129,7.303,3.6515,1.5645,3.6515,,,
135,23.617,2.134,,,126.1124384,8.01,3.754,8.01,4.005,1.877,4.005,,,
136,22.852,1.871,,,112.3815701,7.377,3.944,7.377,3.6885,1.972,3.6885,,,
137,10.317,1.481,,,30.32497801,4.41,2.978,4.41,2.205,1.489,2.205,,,
138,36.755,1.696,,,218.3051298,8.909,5.253,8.909,4.4545,2.6265,4.4545,,,
139,65.363,3.236,,,715.0926658,16.411,5.071,16.411,8.2055,2.5355,8.2055,,,
140,29.918,2.662,,,200.8203156,10.069,3.783,10.069,5.0345,1.8915,5.0345,,,
141,39.547,4.842,,,411.6770827,15.614,3.225,15.614,7.807,1.6125,7.807,,,
142,62.447,2.974,,,640.1605078,15.378,5.17,15.378,7.689,2.585,7.689,,,
