 ,Area,Aspect Ratio,Slope,Mean misorient. angle,Volumen,a_dia,c_dia,b_dia,a,c,b,,totalvol,boxsize
1,71.37,2.234,,,381.3347112,14.249,6.377,14.249,7.1245,3.1885,7.1245,,128108.9342,50.41113466
2,41.078,1.707,,,145.5802267,9.45,5.535,9.45,4.725,2.7675,4.725,,,
3,98.58,1.227,,,458.8193696,12.412,10.112,12.412,6.206,5.056,6.206,,Totalvol,boxsize 
4,52.345,1.151,,,171.9157584,8.758,7.61,8.758,4.379,3.805,4.379,,220409.1018,60.40550344
5,22.134,2.794,,,73.64488798,8.873,3.176,8.873,4.4365,1.588,4.4365,,,
6,94.575,2.109,,,565.2313527,15.937,7.556,15.937,7.9685,3.778,7.9685,,sum total,boxsize
7,147.687,2.048,,,1086.806897,19.624,9.582,19.624,9.812,4.791,9.812,,348518.0361,70.37338144
8,47.952,2.02,,,199.6571148,11.104,5.498,11.104,5.552,2.749,5.552,,,
9,8.496,2.737,,,17.34022003,5.442,1.988,5.442,2.721,0.994,2.721,,,
10,14.783,1.243,,,26.81232992,4.837,3.891,4.837,2.4185,1.9455,2.4185,,,
11,77.594,1.788,,,386.7235305,13.291,7.433,13.291,6.6455,3.7165,6.6455,,,
12,144.357,1.983,,,1033.618957,19.093,9.627,19.093,9.5465,4.8135,9.5465,,,
13,71.506,1.505,,,313.8703471,11.706,7.777,11.706,5.853,3.8885,5.853,,,
14,63.515,1.931,,,297.6487675,12.497,6.471,12.497,6.2485,3.2355,6.2485,,,
15,25.426,1.898,,,74.7277178,7.838,4.13,7.838,3.919,2.065,3.919,,,
16,71.493,2.659,,,417.0642367,15.557,5.851,15.557,7.7785,2.9255,7.7785,,,
17,17.034,2.266,,,44.77932001,7.01,3.094,7.01,3.505,1.547,3.505,,,
18,42.924,1.335,,,137.4513471,8.54,6.399,8.54,4.27,3.1995,4.27,,,
19,8.96,1.323,,,13.05590983,3.885,2.937,3.885,1.9425,1.4685,1.9425,,,
20,99.138,2.579,,,670.7928861,18.043,6.996,18.043,9.0215,3.498,9.0215,,,
21,149.034,2.194,,,1140.340969,20.404,9.3,20.404,10.202,4.65,10.202,,,
22,88.562,2.462,,,553.3803252,16.663,6.767,16.663,8.3315,3.3835,8.3315,,,
23,76.487,1.409,,,335.9444385,11.713,8.314,11.713,5.8565,4.157,5.8565,,,
24,320.196,1.722,,,3181.220905,26.493,15.389,26.493,13.2465,7.6945,13.2465,,,
25,150.496,2.543,,,1245.89558,22.076,8.68,22.076,11.038,4.34,11.038,,,
26,320.247,2.573,,,3889.691344,32.388,12.59,32.388,16.194,6.295,16.194,,,
27,81.069,1.409,,,366.5603384,12.058,8.56,12.058,6.029,4.28,6.029,,,
28,27.547,2.161,,,89.94059206,8.706,4.029,8.706,4.353,2.0145,4.353,,,
29,43.404,1.243,,,134.9136474,8.289,6.667,8.289,4.1445,3.3335,4.1445,,,
30,88.919,2.199,,,526.1408315,15.779,7.175,15.779,7.8895,3.5875,7.8895,,,
31,39.342,1.898,,,143.8563469,9.751,5.137,9.751,4.8755,2.5685,4.8755,,,
32,52.768,2.088,,,234.345917,11.843,5.673,11.843,5.9215,2.8365,5.9215,,,
33,325.041,1.559,,,3096.216879,25.402,16.292,25.402,12.701,8.146,12.701,,,
34,209.26,1.981,,,1802.767328,22.973,11.598,22.973,11.4865,5.799,11.4865,,,
35,229.542,1.74,,,1941.121644,22.55,12.961,22.55,11.275,6.4805,11.275,,,
36,32.067,1.166,,,82.96996365,6.9,5.917,6.9,3.45,2.9585,3.45,,,
37,33.645,2.089,,,119.346542,9.46,4.528,9.46,4.73,2.264,4.73,,,
38,163.518,1.826,,,1195.614567,19.498,10.678,19.498,9.749,5.339,9.749,,,
39,137.208,2.184,,,1005.150773,19.535,8.943,19.535,9.7675,4.4715,9.7675,,,
40,369.603,1.116,,,3175.849911,22.914,20.537,22.914,11.457,10.2685,11.457,,,
41,107.733,1.44,,,567.8131679,14.056,9.758,14.056,7.028,4.879,7.028,,,
42,103.027,2.242,,,662.6040084,17.15,7.649,17.15,8.575,3.8245,8.575,,,
43,156.432,2.709,,,1362.70876,23.23,8.574,23.23,11.615,4.287,11.615,,,
44,127.664,4.205,,,1251.543895,26.144,6.217,26.144,13.072,3.1085,13.072,,,
45,47.74,3.786,,,271.588673,15.17,4.007,15.17,7.585,2.0035,7.585,,,
46,90.068,2.184,,,534.5848952,15.827,7.246,15.827,7.9135,3.623,7.9135,,,
47,101.266,4.293,,,893.3770929,23.527,5.48,23.527,11.7635,2.74,11.7635,,,
48,421.348,2.642,,,5949.199961,37.651,14.249,37.651,18.8255,7.1245,18.8255,,,
49,19.599,1.682,,,47.609028,6.478,3.852,6.478,3.239,1.926,3.239,,,
50,8.532,2.206,,,15.65971463,4.895,2.219,4.895,2.4475,1.1095,2.4475,,,
51,28.209,1.993,,,89.50395653,8.461,4.245,8.461,4.2305,2.1225,4.2305,,,
52,62.53,1.138,,,223.2323559,9.52,8.363,9.52,4.76,4.1815,4.76,,,
53,52.425,1.296,,,182.8896364,9.303,7.175,9.303,4.6515,3.5875,4.6515,,,
54,14.425,2.117,,,33.73018019,6.236,2.945,6.236,3.118,1.4725,3.118,,,
55,21.685,1.836,,,57.88512023,7.119,3.878,7.119,3.5595,1.939,3.5595,,,
56,59.623,2.233,,,291.1242493,13.021,5.83,13.021,6.5105,2.915,6.5105,,,
57,28.05,1.34,,,72.75432663,6.917,5.163,6.917,3.4585,2.5815,3.4585,,,
58,11.393,2.168,,,23.95403556,5.607,2.587,5.607,2.8035,1.2935,2.8035,,,
59,6.126,1.866,,,8.761755405,3.815,2.044,3.815,1.9075,1.022,1.9075,,,
60,12.618,3.218,,,34.02956968,7.19,2.235,7.19,3.595,1.1175,3.595,,,
61,13.995,1.669,,,28.62203779,5.454,3.267,5.454,2.727,1.6335,2.727,,,
62,40.46,5.165,,,247.4843268,16.312,3.158,16.312,8.156,1.579,8.156,,,
63,8.918,1.086,,,11.74453613,3.512,3.233,3.512,1.756,1.6165,1.756,,,
64,11.359,1.492,,,19.78206873,4.645,3.113,4.645,2.3225,1.5565,2.3225,,,
65,11.16,1.343,,,18.28250814,4.369,3.252,4.369,2.1845,1.626,2.1845,,,
66,30.475,1.844,,,96.66915873,8.459,4.587,8.459,4.2295,2.2935,4.2295,,,
67,15.513,2.149,,,37.89185393,6.514,3.032,6.514,3.257,1.516,3.257,,,
68,24.225,1.411,,,59.9179499,6.596,4.676,6.596,3.298,2.338,3.298,,,
69,4.527,2.088,,,5.890616753,3.469,1.662,3.469,1.7345,0.831,1.7345,,,
70,81.6,1.703,,,406.9927432,13.3,7.812,13.3,6.65,3.906,6.65,,,
71,14.369,1.581,,,28.982168,5.379,3.401,5.379,2.6895,1.7005,2.6895,,,
72,133.761,1.051,,,670.9669389,13.377,12.731,13.377,6.6885,6.3655,6.6885,,,
73,49.116,2.825,,,244.7913643,13.291,4.705,13.291,6.6455,2.3525,6.6455,,,
74,30.911,2.871,,,123.2269785,10.631,3.702,10.631,5.3155,1.851,5.3155,,,
75,63.05,1.464,,,256.3340888,10.842,7.404,10.842,5.421,3.702,5.421,,,
76,74.778,2.288,,,413.8601194,14.76,6.45,14.76,7.38,3.225,7.38,,,
77,26.987,3.146,,,105.2427625,10.398,3.305,10.398,5.199,1.6525,5.199,,,
78,62.714,1.687,,,272.9991265,11.608,6.879,11.608,5.804,3.4395,5.804,,,
79,86.793,2.685,,,560.6005739,17.224,6.416,17.224,8.612,3.208,8.612,,,
80,39.393,3.207,,,187.3454434,12.682,3.955,12.682,6.341,1.9775,6.341,,,
81,170.613,1.399,,,1115.201903,17.431,12.462,17.431,8.7155,6.231,8.7155,,,
82,115.987,2.487,,,833.6193769,19.165,7.706,19.165,9.5825,3.853,9.5825,,,
83,73.006,2.538,,,420.5353418,15.36,6.052,15.36,7.68,3.026,7.68,,,
84,41.949,1.592,,,145.0395754,9.22,5.793,9.22,4.61,2.8965,4.61,,,
85,23.952,1.738,,,65.40539481,7.281,4.189,7.281,3.6405,2.0945,3.6405,,,
86,20.808,2.547,,,64.10117695,8.215,3.225,8.215,4.1075,1.6125,4.1075,,,
87,151.456,2.023,,,1121.71523,19.751,9.763,19.751,9.8755,4.8815,9.8755,,,
88,35.071,2.164,,,129.2654779,9.829,4.543,9.829,4.9145,2.2715,4.9145,,,
89,16.816,1.208,,,32.06159763,5.085,4.21,5.085,2.5425,2.105,2.5425,,,
90,5.759,2.361,,,8.985091099,4.161,1.762,4.161,2.0805,0.881,2.0805,,,
91,113.655,2.522,,,814.2176903,19.105,7.574,19.105,9.5525,3.787,9.5525,,,
92,70.077,2.403,,,384.7905556,14.642,6.094,14.642,7.321,3.047,7.321,,,
93,25.506,1.529,,,67.39724784,7.047,4.608,7.047,3.5235,2.304,3.5235,,,
94,23.324,1.166,,,51.48834243,5.886,5.046,5.886,2.943,2.523,2.943,,,
95,34.026,5.673,,,200.071443,15.677,2.764,15.677,7.8385,1.382,7.8385,,,
96,54.782,1.376,,,201.2738523,9.797,7.12,9.797,4.8985,3.56,4.8985,,,
97,14.275,1.375,,,26.76155206,4.999,3.636,4.999,2.4995,1.818,2.4995,,,
98,417.336,1.323,,,4149.873773,26.516,20.04,26.516,13.258,10.02,13.258,,,
99,148.99,3.113,,,1357.681771,24.301,7.806,24.301,12.1505,3.903,12.1505,,,
100,15.587,1.454,,,31.39713701,5.372,3.694,5.372,2.686,1.847,2.686,,,
101,13.51,2.271,,,31.67149591,6.251,2.752,6.251,3.1255,1.376,3.1255,,,
102,8.423,2.019,,,14.70431632,4.654,2.305,4.654,2.327,1.1525,2.327,,,
103,21.446,3.474,,,78.32995735,9.739,2.804,9.739,4.8695,1.402,4.8695,,,
104,49.576,2.028,,,210.3708378,11.316,5.578,11.316,5.658,2.789,5.658,,,
105,22.537,1.78,,,60.4193135,7.148,4.015,7.148,3.574,2.0075,3.574,,,
106,111.37,2.662,,,811.4941797,19.429,7.299,19.429,9.7145,3.6495,9.7145,,,
107,15.454,2.308,,,39.05664311,6.739,2.92,6.739,3.3695,1.46,3.3695,,,
108,55.54,3.471,,,326.2973963,15.668,4.513,15.668,7.834,2.2565,7.834,,,
109,310.991,1.355,,,2701.419069,23.164,17.094,23.164,11.582,8.547,11.582,,,
110,44.415,4.516,,,266.1676448,15.98,3.539,15.98,7.99,1.7695,7.99,,,
111,71.19,1.749,,,336.1417227,12.592,7.198,12.592,6.296,3.599,6.296,,,
112,36.71,2.168,,,138.5861947,10.067,4.643,10.067,5.0335,2.3215,5.0335,,,
113,46.831,1.567,,,169.7225843,9.665,6.169,9.665,4.8325,3.0845,4.8325,,,
114,73.618,2.543,,,426.2613676,15.44,6.071,15.44,7.72,3.0355,7.72,,,
115,39.113,1.855,,,140.952212,9.611,5.181,9.611,4.8055,2.5905,4.8055,,,
116,6.007,2.89,,,10.5943411,4.702,1.627,4.702,2.351,0.8135,2.351,,,
117,11.374,1.969,,,22.77683357,5.34,2.712,5.34,2.67,1.356,2.67,,,
118,18.911,5.21,,,79.44621358,11.201,2.15,11.201,5.6005,1.075,5.6005,,,
119,50.341,3.381,,,277.9349745,14.722,4.354,14.722,7.361,2.177,7.361,,,
120,29.67,1.347,,,79.36944136,7.134,5.295,7.134,3.567,2.6475,3.567,,,
121,2.892,1.862,,,2.838218027,2.618,1.406,2.618,1.309,0.703,1.309,,,
122,71.994,1.715,,,338.4890185,12.537,7.312,12.537,6.2685,3.656,6.2685,,,
123,14.06,1.355,,,25.96797199,4.925,3.635,4.925,2.4625,1.8175,2.4625,,,
124,62.813,2.11,,,305.9909661,12.99,6.157,12.99,6.495,3.0785,6.495,,,
125,38.11,1.461,,,120.3069697,8.419,5.763,8.419,4.2095,2.8815,4.2095,,,
126,8.215,1.772,,,13.26467809,4.306,2.429,4.306,2.153,1.2145,2.153,,,
127,33.259,1.688,,,105.462826,8.455,5.009,8.455,4.2275,2.5045,4.2275,,,
128,43.429,1.662,,,156.1446653,9.588,5.767,9.588,4.794,2.8835,4.794,,,
129,68.993,6.714,,,628.3210927,24.286,3.617,24.286,12.143,1.8085,12.143,,,
130,13.127,1.366,,,23.52962552,4.779,3.498,4.779,2.3895,1.749,2.3895,,,
131,12.742,4.668,,,41.57241127,8.702,1.864,8.702,4.351,0.932,4.351,,,
132,5.485,1.267,,,6.120588498,2.975,2.348,2.975,1.4875,1.174,1.4875,,,
133,15.038,2.527,,,39.23254731,6.956,2.753,6.956,3.478,1.3765,3.478,,,
134,30.917,3.643,,,138.8263474,11.975,3.287,11.975,5.9875,1.6435,5.9875,,,
135,285.663,1.127,,,2169.02363,20.248,17.963,20.248,10.124,8.9815,10.124,,,
136,25.371,1.572,,,67.79105649,7.125,4.534,7.125,3.5625,2.267,3.5625,,,
