Area,Aspect Ratio,Slope
17.3,2.2685999999999997,174.31
4.43,2.5056999999999996,9.2264
4.45,3.0584000000000002,13.267999999999999
45.21,1.5761000000000003,155.67
1.38,18.152000000000005,179.9
4.27,4.445499999999999,174.52
1.88,2.0424,127.42
3.92,1.3021,10.927
221.71,1.8860000000000006,51.826
1.1,11.907999999999998,1.8485
200.23,2.1042000000000005,6.4077
12.21,3.0217999999999994,173.59
8.81,1.7322000000000002,156.38
9.73,1.7828999999999997,165.16
3.57,1.9185999999999994,175.93
1.72,2.0482,30.796999999999997
20.16,2.0343999999999998,102.64
42.18,1.5654999999999992,144.38
2.63,2.295399999999999,48.553000000000004
408.11,1.4285000000000003,31.397
2.77,3.4011,141.9
8.93,1.4472999999999998,145.06
1.37,2.025,88.029
6.79,1.6557999999999997,121.42
8.54,1.5996000000000004,70.273
1.05,1.4967,164.89
17.34,1.8825000000000003,162.77
1.41,1.0264,51.11600000000001
11.63,1.2735,72.278
9.09,1.9456999999999998,170.34
1.02,1.9671999999999998,1.4634
14.62,1.294,172.92
1.52,1.4726,124.85
3.16,2.0242,99.368
61.77,1.9684999999999995,156.19
289.16,1.5327999999999995,52.45
8.18,1.6351,108.13
251.82,1.3541,156.03
5.61,1.4425000000000001,18.295
74.9,1.377,14.652999999999999
44.42,1.8079000000000003,175.04
30.64,2.2434,7.7508
12.33,1.9921000000000006,155.27
5.85,1.5814999999999997,165.93
1.25,1.8351,85.62200000000001
41.67,2.238599999999999,167.32
37.17,2.5980000000000008,106.35
48.79,1.5731000000000002,14.735999999999999
4.96,2.7876000000000003,167.81
1.25,5.0552,142.81
112.78,2.0033,144.74
3.58,1.2730999999999995,78.411
9.53,1.7236,134.04
53.18,2.3279000000000005,133.32
1.76,1.2058999999999995,134.84
16.5,1.6909000000000007,152.75
16.39,1.8502,149.85
8.34,1.1416,32.329
133.76,2.1364,150.55
204.54,1.5252000000000003,154.36
2.35,1.0853000000000002,12.442
1.15,1.6940999999999997,83.02799999999998
1.62,1.5836999999999999,136.26
2.67,1.6591999999999998,95.63600000000001
2.18,1.3834,3.6452
1.53,1.9752000000000003,84.11399999999998
2.0,1.6104,18.64
1.2,1.2851000000000001,140.57
1.91,2.0112999999999994,165.77
3.07,1.5847000000000002,27.164
124.71,1.6032,6.4725
4.53,1.9553,85.023
8.79,1.3880000000000001,81.932
1.68,3.177700000000001,15.159
11.47,1.1937999999999998,3.0074
1.68,1.7102,22.706
1.11,1.1576,120.8
1.55,1.0985999999999998,76.255
12.07,1.6952,1.8993
4.77,2.4268,15.738
101.66,1.2601999999999998,162.35
90.38,1.8362999999999996,161.94
6.54,2.4349000000000003,128.77
2.19,1.7964999999999998,110.83
1.41,1.1693999999999998,171.74
1.4,2.7447999999999997,118.48
33.1,1.4915000000000003,179.73
1.08,1.5024,140.91
6.32,1.4458,47.775
5.3,1.199,82.86
1.09,2.7181,21.319000000000006
1.4,1.6094999999999997,37.041
9.53,1.5667000000000006,83.84
1.2,1.8750000000000002,5.7022
1.25,1.4046000000000003,89.553
2.76,1.876,159.52
3.66,2.0211000000000006,166.0
1.77,1.2475999999999998,149.05
24.31,1.0659000000000003,17.575
2.33,1.7359999999999995,32.018
1.0,1.3738999999999997,37.971
1.62,1.7975999999999999,12.065
1.15,1.5217,42.17
7.05,1.3356,78.555
