a,b,c,alpha,phi1,PHI,phi2,volume,,total volume
16.97788765,12.98514152,12.98514152,2.752567028,21.1166993,50.83344185,199.5814636,11991.28262,,
16.46756669,12.65595444,12.65595444,2.066106161,351.6178648,86.55860726,229.0437314,11048.61513,,
18.14810739,11.9573474,11.9573474,0.87485083,266.839113,128.900034,199.0013325,10869.00139,,
16.10043692,12.56273633,12.56273633,0.233893084,65.65041825,97.58017732,38.3483306,10643.75234,,
25.87104182,9.362067523,9.362067523,2.528036482,246.0337688,49.41823258,274.6313708,9498.304003,,
19.72384176,10.23218354,10.23218354,0.120922092,139.4000911,92.69513619,70.74122423,8650.01305,,
12.92666438,11.7902646,11.7902646,0.621247933,357.2250408,167.585608,253.7783254,7527.004682,,
15.52921974,10.43435866,10.43435866,2.740890922,66.44232442,130.108042,282.6238274,7082.225747,,
21.87011457,8.18943324,8.18943324,3.131154945,57.12827145,149.6147835,21.4440123,6143.945593,,
19.84920399,8.457472361,8.457472361,2.719550008,266.3000458,130.2239432,64.00506605,5947.204587,,
12.16700494,10.44615032,10.44615032,2.358867366,260.7960905,103.6838016,14.14004338,5561.408999,,
21.3691827,7.580807675,7.580807675,0.568341935,357.2893245,88.52955101,335.7843705,5144.077214,,
20.91167542,7.535377386,7.535377386,3.087842134,216.0385338,137.383672,95.52095903,4973.790102,,
14.80346307,8.900779105,8.900779105,2.04722923,267.3587902,71.70002054,359.8244487,4912.561269,,
16.66631083,8.37890805,8.37890805,0.087889369,300.7501231,132.2041875,352.0183276,4901.205763,,
11.58637678,9.839071159,9.839071159,1.856698168,222.6283631,90.88410227,45.19044386,4698.340194,,
17.08645915,8.011259587,8.011259587,1.774324275,83.80279128,122.6708945,112.6760677,4593.484872,,
16.67748245,8.0800195,8.0800195,1.486118321,0.44356577,57.18026517,147.3982041,4560.830363,,
25.35632202,6.313892455,6.313892455,0.084421635,241.975928,139.1730515,327.3035138,4234.179142,,
13.71189427,8.55288032,8.55288032,0.071457055,237.9356345,64.14480734,14.18240409,4201.562759,,
12.46514373,8.78722198,8.78722198,1.265952795,161.9083644,119.6376417,317.2431421,4031.708229,,
25.76989687,5.866112604,5.866112604,3.064547991,0.915518271,59.03493037,142.94189,3714.514692,,
15.26690919,7.331900752,7.331900752,0.21569768,7.819903616,99.72549256,287.6002861,3437.738885,,
14.34191368,7.159592661,7.159592661,0.551745296,83.41740575,74.26722467,185.8839207,3079.44422,,
14.47852939,7.115164174,7.115164174,1.605240109,291.9216351,94.53471806,212.3075673,3070.314843,,
12.86391603,7.28317613,7.28317613,0.294389653,293.7178196,92.33597016,179.1148968,2858.271186,,
17.0939493,6.064050721,6.064050721,1.278853366,240.7885637,132.3082519,214.9636701,2633.035237,,
14.58065137,6.452499968,6.452499968,1.313975191,197.1977579,147.8909054,195.9160673,2542.854773,,
12.64520896,6.32602123,6.32602123,3.120144923,281.1173088,40.90392813,182.7528813,2119.70737,,
17.9094679,5.119520855,5.119520855,3.137192321,195.1831514,91.43811991,101.2330317,1966.210112,,
14.14395649,5.745848134,5.745848134,0.523331404,226.495341,16.99048428,94.0059443,1955.995303,,
13.46572669,5.702281046,5.702281046,2.990314421,38.98486231,31.31629781,254.5121496,1834.068879,,
13.79556175,5.284401949,5.284401949,1.673449787,198.8076717,113.510405,81.133701,1613.688436,,
8.873419346,6.584507114,6.584507114,2.796617746,151.2952305,102.5597714,303.8190204,1611.484594,,
18.34306334,4.527197793,4.527197793,2.01309572,308.9966862,97.91877398,120.8263405,1574.77827,,
9.579344929,6.080317309,6.080317309,1.606158409,211.9227058,79.11786264,238.0906609,1483.463649,,
14.71027223,4.880758583,4.880758583,2.399340319,175.378004,159.0831482,93.80560634,1467.857759,,
8.391382612,6.39699288,6.39699288,1.939085775,232.6097134,48.94206167,202.6753757,1438.380768,,
7.7216823,6.62462945,6.62462945,1.722464409,62.02343238,29.87831879,230.7296199,1419.461835,,
9.847763375,5.350579644,5.350579644,2.918156781,319.4613683,86.73563201,128.4955334,1180.940128,,
10.17843849,5.217511337,5.217511337,2.217229519,193.1273262,155.5978911,245.913953,1160.63742,,
9.062434555,5.359577663,5.359577663,0.102138105,133.3745743,133.0203121,182.9692733,1090.422061,,
10.37590042,4.948574363,4.948574363,1.582135558,90.27107274,10.24315819,322.1585461,1064.325839,,
7.046366187,5.576086454,5.576086454,1.986288523,314.8277677,120.4456022,12.81181448,917.7255344,,
10.57141444,4.455003371,4.455003371,0.530979664,84.1843398,85.5546384,277.6663326,878.8561223,,
17.65297619,3.444291364,3.444291364,1.368403031,319.096117,108.706942,273.0205262,877.2155269,,
9.569512078,4.625636265,4.625636265,0.148449094,181.5678647,46.95256938,149.2178581,857.6722579,,
11.37582909,4.218174525,4.218174525,3.133212201,117.3896855,50.47579473,185.5633989,847.853382,,
14.92137956,3.532898642,3.532898642,3.129870405,313.5948532,102.9213937,248.1094891,780.1173606,,
10.28652151,4.146610749,4.146610749,1.19200162,52.12517462,38.84501697,143.8420115,740.8728606,,
20.89643275,2.837479065,2.837479065,0.008986357,304.8824842,62.54408793,225.9997517,704.7354123,,
7.331858599,4.714973058,4.714973058,0.630845651,118.5618405,140.3137579,54.28712633,682.7490757,,
14.40466318,3.357049427,3.357049427,0.181968462,340.569604,118.2827951,319.191532,679.9973001,,
8.900017309,4.215969886,4.215969886,1.168748623,267.4955785,104.2831941,292.6392609,662.6351364,,
9.967489477,3.767407935,3.767407935,0.678721304,104.6829132,127.10138,194.4316941,592.5973316,,
6.56416925,4.442687991,4.442687991,0.241359879,313.4837918,94.44670784,215.8930371,542.7002324,,
10.25988564,3.456295402,3.456295402,0.05151789,320.1164739,160.3290249,71.51464101,513.3964204,,
