Area,Aspect Ratio,Slope
19.08,2.3759999999999994,19.985
9.495,1.4419000000000002,179.09
3.15,5.1658,3.3257
11.137,3.5574999999999997,4.0384
3.96,2.3727999999999994,175.33
18.698,2.1628,166.71
22.837,3.225900000000001,175.22
29.452,2.9323,173.56
2.6325,6.813800000000001,1.4572
17.347,1.4505000000000003,144.75
87.90799999999999,1.2336999999999998,152.89
23.647,7.7444,177.38
1.9125,4.098800000000001,173.48
1.6425,2.1065999999999994,25.519
1.845,1.2150000000000003,64.046
6.075,5.891,1.9456
1.1475,6.114499999999999,3.7319
14.962,1.8564000000000003,175.14
12.847,2.0089999999999995,51.49800000000001
5.85,1.2507000000000001,54.898
11.903,2.5507,169.88
2.3175,3.0926000000000005,26.167
2.5875,1.9689000000000003,154.74
3.6225,1.9845,140.87
7.1775,1.2443999999999997,172.33
54.765,1.4968,15.572
3.465,1.0738,58.416
3.3075,2.150599999999999,41.972
20.43,2.7302,23.191
1.215,1.8615999999999997,27.426
20.858,1.8626,150.5
1.5525,1.4167,158.32
1.71,1.7641,103.61
16.02,1.6889000000000003,20.355
10.215,2.3115999999999994,18.362
2.025,2.1566000000000005,44.144
5.76,2.1445,165.46
48.803,1.7076999999999998,174.18
178.99,1.9811,156.86
46.37300000000001,1.7973999999999999,166.78
40.658,2.0739,148.03
9.36,1.5476,157.14
54.24800000000001,3.8616999999999995,9.142
13.658,1.3351999999999997,28.948
62.46,1.4814999999999998,1.8118
4.4325,1.5492,137.04
20.452,3.0754000000000006,177.72
19.913,2.4208999999999996,171.85
45.72,2.4389000000000003,21.2
1.26,2.1225000000000005,140.72
1.3725,1.4309000000000003,142.36
2.79,1.4993999999999998,60.825
1.62,1.9657000000000002,15.845
2.0925,1.5295999999999998,167.44
1.125,2.2590999999999997,11.582
8.0325,2.6705000000000005,172.96
40.702,1.2581000000000002,64.925
11.925,1.2263,31.209
9.3375,2.0266000000000006,29.131
18.563,1.4778000000000002,148.95
6.6825,1.4913999999999996,27.236
92.745,2.3533999999999997,11.741
4.0725,1.1141000000000003,68.53699999999999
8.2575,1.5334000000000003,18.749
7.245,1.4017000000000004,102.5
29.677,1.8321999999999996,179.78
2.07,1.0328999999999997,95.659
2.79,1.5934999999999995,110.0
26.212,2.5007000000000006,175.89
1.035,3.876900000000002,8.7557
6.03,1.3569000000000002,129.41
3.33,1.7819999999999991,27.864
9.0675,2.2233,171.65
4.9725,5.023,162.18
2.16,2.532,6.882999999999999
36.135,1.7741999999999998,9.4806
5.85,2.9616999999999996,25.42
3.375,2.0887000000000002,122.03
1.62,1.6231,135.69
1.125,2.3746000000000005,12.161
35.01,3.5796,4.7693
13.028,3.931599999999998,158.01
96.952,1.8349999999999997,9.8646
17.1,5.7551000000000005,35.217
238.43,1.8275,169.11
9.8775,2.2073,5.0686
9.2025,1.251,119.14
1.44,1.4013,66.815
2.8125,1.5877999999999999,153.22
1.4625,2.6946000000000008,40.182
3.8925,1.7128,11.642
90.54,1.9532,178.23
26.483,1.3716000000000002,8.929
1.3275,1.4603999999999997,66.291
34.447,1.7762000000000002,22.277
101.99,1.8798999999999997,33.067
6.3675,1.8828999999999998,175.39
73.44,1.4142000000000001,25.464
66.308,1.9793999999999994,22.525
9.8775,1.2936,87.055
18.022,3.6952000000000003,164.42
62.64,2.5364000000000004,35.2
1.8225,2.4602000000000004,32.713
13.68,2.157900000000001,170.65
6.12,1.6036000000000001,53.952
177.19,1.9438999999999997,179.87
5.94,1.2379999999999995,168.04
4.2525,1.6514999999999997,144.92
23.288,1.4784000000000002,56.413
11.587,2.5701,159.33
12.6,1.3369000000000002,140.26
10.868,1.5813000000000001,8.5712
126.34,1.5562,5.5905
14.917,2.1587000000000005,3.7435
32.76,1.3929,174.0
68.67,1.8662999999999998,8.5539
42.99800000000001,1.2769,29.204
58.005,2.2222999999999997,160.55
32.085,1.5311,5.3198
10.642,1.7890999999999997,0.0411
27.968000000000004,2.322,176.99
8.325,1.7752,19.653
8.5725,2.7144,172.58
5.8275,1.5528,157.61
4.9275,1.9597000000000002,29.966
146.72,1.9030999999999996,24.515
17.235,1.1989000000000003,73.765
9.315,2.3057999999999996,148.37
1.08,1.7008,64.296
102.94,1.4835000000000003,19.815
1.1475,1.7052,85.825
1.035,2.3189000000000006,6.2769
15.998,1.3467999999999998,133.37
2.7675,2.879,118.14
1.5525,1.4311,166.37
1.575,1.7729000000000001,47.539
25.38,1.3736,2.0567
2.1825,1.2445000000000002,163.32
2.61,2.0278,86.67299999999999
7.83,1.1491,123.89
18.247,1.5286999999999995,0.1309
7.29,1.8888000000000003,94.699
107.5,1.3838000000000004,17.567
13.118,2.5359999999999996,179.37
40.298,1.3953000000000004,75.12899999999998
77.332,1.2044999999999997,127.27
28.44,2.4307000000000007,174.11
6.7725,1.4327,35.968
3.42,1.2260000000000004,42.893
65.025,2.1738000000000004,30.123
30.42,1.3134999999999994,11.058
14.377,2.7353,152.83
1.17,1.725,13.087
10.193,3.009999999999999,178.75
192.42,1.5274,167.42
28.552,2.318,147.41
5.9625,1.5969999999999998,175.19
1.845,1.6244000000000005,171.63
22.612,1.9956,162.3
1.26,2.1268000000000002,11.132
33.188,1.5009999999999994,2.0019
2.79,1.5226999999999995,47.965
10.462,2.5340000000000003,30.807
14.198,1.7626,16.34
3.8925,1.5685,70.196
40.522,2.1736999999999997,20.327
1.8675,1.3422,117.88
1.1025,1.1351000000000002,41.045
6.5925,3.0038,24.14
2.835,2.6802,44.032
3.15,2.4214999999999995,136.05
35.64,2.528099999999999,11.42
9.45,1.475100000000001,154.85
21.015,1.3149,148.48
1.665,1.5171,26.822
12.69,1.6428999999999994,4.6514
104.33,1.6757,68.247
24.683000000000003,2.2597,179.98
1.845,1.6026999999999998,10.611
21.24,2.5612,20.695
3.015,1.2726,67.165
5.2425,1.9601999999999995,9.0693
1.4175,3.4966999999999997,38.122
4.3425,3.9227999999999996,98.846
35.077,2.8192000000000004,12.447
13.073,2.2203,178.81
7.74,2.5473,34.897
14.828,1.7051000000000007,171.4
88.223,1.4712000000000003,171.84
5.175,1.6,8.4722
1.215,1.2594000000000005,96.274
7.4025,1.2282000000000002,133.75
2.2275,1.9491,135.27
1.4175,1.3265,2.977
23.805,1.4044999999999999,11.425
59.085,1.1388,4.5536
4.1175,1.4971000000000003,164.77
4.8825,1.8908,39.45
14.22,3.2249999999999996,177.99
2.835,2.1528999999999994,57.901
5.0625,1.6378999999999997,21.198
22.14,2.3231999999999995,9.8701
40.072,1.5961,158.21
28.688,1.4755,167.65
20.16,1.4110000000000003,70.88
16.47,3.128599999999999,0.1737
8.145,1.6551000000000002,161.93
10.26,3.0233000000000003,10.713
9.36,1.2368000000000001,47.56399999999999
2.8125,1.9539999999999993,16.303
4.23,2.9367999999999994,23.288
63.338,1.2120999999999993,175.39
4.815,1.3427000000000002,9.5415
6.57,1.5092,79.505
5.13,3.2887,1.8147
25.538,2.855200000000001,5.1796
1.5075,1.6121,116.09
4.1175,1.8680999999999999,7.5542
25.403,1.3542000000000003,76.39
77.58,4.383000000000002,5.0146
25.92,1.0713,5.8803
1.08,2.2727,9.7078
1.5525,1.7529,23.389
34.357,5.7092,5.7003
12.915,2.0004,7.6677
1.2825,1.5438000000000003,94.678
6.0525,1.2303,59.877
1.7325,1.7217000000000002,53.41
4.1175,1.5907,98.854
1.2375,2.2734,122.95
1.305,1.3537,118.17
2.0025,2.5018999999999996,144.82
1.0125,2.3052,128.64
177.14,1.6384999999999998,170.46
10.125,2.3715000000000006,117.83
1.9575,2.2693,156.12
4.725,2.4471000000000007,130.57
38.655,1.2456,53.988
1.2825,3.2060000000000004,3.1966
4.59,1.9468,156.56
6.3,1.9111,7.3497
1.35,1.9396,89.429
1.0125,2.7716000000000003,55.303
2.34,1.7545000000000006,83.05799999999998
59.287,2.0301999999999993,26.492
2.115,1.8860999999999997,16.195999999999998
18.945,1.4090000000000005,59.495
77.96300000000002,1.8533000000000004,6.0237
1.125,2.2428999999999997,33.943000000000005
75.285,2.3287999999999998,167.09
20.16,1.2892000000000001,151.96
1.4175,1.5669000000000004,44.808
14.04,1.7079,62.062
19.552,1.2036000000000002,55.286
1.2375,2.9184,29.551
1.08,1.3035999999999999,144.06
3.42,2.2874999999999996,5.96
2.205,1.8402999999999998,177.49
8.3025,1.8479999999999999,18.468
52.132,1.3951000000000002,26.541
1.17,1.6744999999999997,112.98
3.0375,1.4732,90.845
2.79,2.5933000000000006,10.139
84.015,2.3749999999999996,7.1079
7.02,2.0743,156.95
38.295,1.9101999999999997,6.5903
2.34,1.6361000000000003,120.16
11.88,1.1668000000000003,1.4387
3.4425,1.3874000000000002,103.44
1.8225,1.7741000000000005,10.059
1.3725,1.2036,115.95
17.573,1.0332000000000001,69.896
5.4225,1.9818,163.4
1.125,2.3435999999999995,32.614000000000004
1.17,2.1551,9.2837
3.2175,2.5832,14.605
32.4,2.3033999999999994,90.073
4.4775,3.959,69.527
67.05,2.2844,60.87
3.0825,1.3242,94.088
21.308000000000003,2.5315999999999996,174.56
9.675,2.1119000000000003,6.7134
4.8375,1.4298000000000002,6.7264
2.52,1.1488999999999998,112.46
2.8575,1.9218000000000002,102.39
4.995,1.7506000000000002,24.525
1.53,1.3766,31.31900000000001
17.19,1.3926000000000003,177.18
15.075,1.2205,151.75
29.52,1.9730000000000008,153.37
24.615,2.5118,150.36
1.215,2.2027,175.28
58.68,2.37,170.86
15.097,1.2215000000000005,24.037
24.975,1.8157999999999996,7.2077
13.23,1.7459999999999998,58.467
4.7475,1.9422,163.34
5.2425,1.5597,112.54
21.78,1.6023000000000005,63.025
59.85,1.8142999999999998,6.101
5.4,2.0162,11.569
7.4475,1.421,174.93
2.655,1.4311000000000003,138.85
121.9,2.2975999999999996,122.33
8.7525,1.8047999999999997,10.886
9.4275,2.1715999999999998,164.15
1.3275,1.5959999999999996,134.54
47.475,1.8557000000000001,140.73
2.745,1.6049,24.219
8.91,1.5524999999999998,155.28
8.82,2.358399999999999,177.78
24.052,1.3728000000000005,129.47
1.575,1.7735000000000003,61.714
1.5975,2.5837000000000008,176.09
7.155,1.4444000000000004,40.71
6.8175,2.3896000000000006,3.5506
12.06,2.0771999999999995,172.76
1.8225,1.5283,136.25
17.91,1.7604999999999993,7.3675
1.035,2.718400000000001,8.3974
17.663,1.563,62.962
29.43,1.5823,156.94
38.97,2.3208000000000006,27.722
120.98,1.436,152.6
33.075,1.5393999999999999,30.53
6.57,2.8905999999999996,28.109
20.565,2.1126,17.908
46.958,1.4909,17.958
9.045,1.7999999999999996,155.87
1.575,2.3227,29.937
3.24,1.5643999999999996,6.1652
7.1775,1.3195999999999999,164.26
2.655,1.2510999999999999,148.13
3.87,1.5475,129.17
2.475,3.5527,68.042
1.5975,2.4244,168.65
61.83,2.2102,173.35
5.8725,1.4099,153.47
87.59200000000001,1.7393999999999996,172.31
22.972,2.1664,161.63
49.59,1.1223000000000005,140.06
17.37,2.7301000000000006,49.521
9.54,1.6936,28.138
27.337,1.3875,134.13
2.4525,1.2451,30.48
6.075,1.7672999999999999,141.12
30.622,2.6777,147.39
1.3275,1.4721,61.519
27.09,1.3496000000000004,83.984
2.61,1.6242999999999999,80.906
16.087,2.470500000000001,11.425999999999998
5.6475,1.9765000000000004,130.15
43.605,2.0476000000000005,28.474
3.5325,1.6472000000000002,73.83
2.1825,1.9816,101.64
40.41,3.8074,18.23
1.8,1.8176999999999996,171.99
37.26,4.208,4.292
24.795,2.2526,172.84
2.4975,1.3383999999999998,3.711
8.9775,1.3886999999999998,158.15
9.9225,1.8154000000000003,122.27
5.94,1.0941,76.06
13.545,2.0179000000000005,6.0672
21.285,3.019899999999999,179.78
11.565,1.6183999999999998,8.3941
3.7125,2.3695,1.5734
12.06,1.4276999999999997,138.78
1.215,2.1357999999999997,13.887
43.695,2.74,2.6752
1.665,1.4726999999999997,131.18
9.2475,2.1502000000000003,12.717
5.49,1.6111999999999997,152.55
2.925,1.3060999999999998,71.01100000000002
1.1925,1.8259,1.8448
4.05,1.543,45.169
2.025,1.2143,90.3
1.0125,3.3581,79.259
2.565,1.7056999999999998,174.17
2.5425,1.3536999999999992,121.53
6.1875,1.8635000000000006,173.16
10.688,1.8010999999999993,169.29
1.5075,3.5641,152.47
3.51,1.4398,176.24
1.485,1.2102,23.974
2.61,1.5012999999999996,167.72
3.4425,2.032,162.1
3.3975,1.4507,6.9255
3.06,1.4521,169.29
1.2375,1.9568,33.081
15.93,2.8214,14.52
5.9625,2.2786000000000004,6.4588
23.198,3.6024,178.25
25.493,2.5547999999999997,167.05
8.55,2.4614,85.53200000000002
17.55,3.5671999999999997,1.2446
14.153,3.767700000000002,174.68
3.78,2.2038,0.2514
8.64,1.3842000000000005,162.02
54.923,2.419999999999999,12.443
7.2675,3.4289000000000005,14.907
1.035,1.1222000000000003,4.4074
4.7475,1.3485000000000003,162.68
14.4,1.8823,149.38
3.3975,1.7374999999999998,7.1415
32.197,1.8499000000000008,171.37
2.9475,1.7115999999999996,38.686
24.772,2.0635999999999997,76.32600000000002
21.555,1.465,27.91
71.73,1.9702000000000004,3.9654
4.5,1.1647000000000003,169.26
38.52,2.758199999999999,177.03
1.4625,1.4841,150.97
7.29,1.8477000000000001,18.954
1.17,1.8289999999999997,41.699
74.835,3.0145000000000004,155.41
1.2375,1.7953999999999997,46.494
1.7775,1.5393000000000001,161.09
1.6425,1.2102999999999997,76.77
13.613,1.3831000000000002,151.89
15.21,2.7980000000000005,13.915
2.2275,1.7221,1.8191
52.493,1.7109000000000003,0.4378
7.0875,2.176899999999999,173.59
23.985,1.6682,171.53
9.0,1.6878000000000002,177.99
13.748,2.0367000000000006,176.32
7.5375,1.1405,55.472
1.7775,1.3979000000000001,122.14
2.3175,2.2421999999999995,54.597
55.507,2.9377,5.8997
14.58,1.4748999999999999,9.184
1.665,1.854800000000001,21.587
1.17,2.3571999999999997,174.95
9.495,2.304900000000001,150.47
5.1525,1.3383000000000003,15.798
3.645,2.0769000000000006,23.772
12.352,2.0008,154.74
1.4175,1.7359,80.94800000000002
8.4375,1.1434,13.531
2.4525,1.1927,23.124
4.8825,1.3425999999999998,177.73
3.1275,2.1648999999999994,40.767
3.0825,2.7163,6.8901
2.925,1.5599000000000005,37.976
6.3,1.8756999999999995,29.25
33.615,1.6473000000000002,11.053
11.092,1.2432999999999996,70.16
15.93,1.9459999999999997,157.63
51.03,2.8290000000000006,0.9008
25.56,1.5915999999999997,154.65
2.565,1.1438999999999995,106.22
5.8725,1.1974,149.21
2.5425,2.6537000000000006,132.71
2.7,1.3391,124.03
68.872,2.4043999999999994,175.06
1.7775,2.0077999999999996,171.69
20.362,1.5299999999999996,172.98
42.232,2.2489000000000003,175.45
72.945,1.7999000000000003,159.05
4.8825,1.7006,34.53
13.342,1.1794,96.222
3.285,1.3168,177.69
8.55,1.827099999999999,40.522
12.06,1.3370000000000002,104.22
1.53,1.2114,45.08600000000001
78.48,1.3863000000000005,16.730999999999998
3.15,1.3603000000000003,52.74100000000001
36.495,1.6421999999999997,125.91
2.6325,2.2654000000000005,150.12
56.115,3.2027,169.39
1.215,1.4372,92.38
33.345,1.216,31.592
19.688,1.0743999999999998,156.61
5.085,1.3249999999999997,150.71
18.067,1.9721000000000002,43.23
23.558000000000003,1.8571999999999997,79.73899999999998
4.635,1.5234000000000005,127.47
1.035,1.7960000000000003,170.53
13.432,2.0203,7.6267
71.482,2.0811000000000006,17.692
13.792,1.7528000000000001,177.08
3.465,2.1107,149.34
10.935,1.9191,11.476
3.7575,2.2089000000000003,14.292
18.675,1.2904000000000002,157.32
15.75,1.4063999999999999,34.507
2.5425,1.3329999999999995,88.12
5.5125,1.4242999999999995,76.13
4.77,1.6639000000000002,20.556
20.79,1.1509,3.0894
6.57,1.3487999999999998,99.729
13.95,1.1722,173.47
19.755,2.1076999999999995,5.7211
6.525,2.1328,6.289
129.71,3.3278000000000003,178.5
13.905,1.4148000000000005,167.54
7.065,1.5915000000000004,46.62300000000001
12.42,1.9239000000000004,15.461
8.82,1.3579999999999999,50.011
16.222,3.317000000000001,10.449000000000002
1.125,1.5358,102.46
1.08,2.4586999999999994,108.53
2.5875,2.1229,120.14
4.0725,2.213599999999999,68.337
2.205,2.2755,172.91
18.833,2.831600000000001,177.38
3.78,1.5748,31.217
11.34,1.8588999999999996,43.322
2.97,1.7563,137.19
1.935,1.5138,20.328
1.9575,2.1953999999999994,50.025
1.395,1.2381,130.76
23.017,1.3020999999999996,45.932
16.132,1.8482999999999998,9.3959
1.5975,2.2181999999999995,10.68
3.3975,1.7972000000000001,173.37
16.132,2.0397999999999996,178.7
8.5725,2.9907000000000012,26.105
13.995,2.706000000000001,175.97
3.6,1.8566,28.718000000000004
2.0025,1.2713999999999999,22.736
1.665,1.9915,16.612000000000002
2.7,1.4589999999999996,33.286
2.07,2.0899000000000005,9.5734
1.1475,1.8849,15.419
1.485,1.8777000000000001,178.08
6.4575,1.8709000000000002,33.599000000000004
2.565,1.5028000000000001,59.81399999999999
6.6825,2.1190999999999995,8.656
3.285,2.6748999999999996,177.88
1.305,2.9079,46.159
1.3275,1.9856000000000003,29.719
1.305,1.1891999999999998,102.77
1.215,1.1110999999999995,147.11
1.4625,1.6159,1.6416
4.86,2.606499999999999,173.51
4.9275,1.2312999999999998,49.433
8.2125,1.865499999999999,172.74
41.895,3.248700000000001,179.03
56.97,1.9034999999999997,14.582
6.0525,2.4623999999999993,177.81
4.68,1.7222000000000002,85.52799999999998
8.145,1.8944000000000005,18.429
86.265,3.6572999999999993,8.9912
1.89,1.5708000000000002,38.261
2.1375,2.9583999999999997,27.846
6.9975,3.2923000000000004,175.16
24.278,2.6234999999999995,25.756
51.705,2.3768,17.007
1.53,1.1930999999999998,124.91
10.193,2.4688000000000003,13.130999999999998
5.7375,1.5172,177.53
6.6825,3.3728000000000002,56.246
1.17,3.0603000000000002,148.24
7.56,2.4950000000000006,15.853
2.79,1.7716999999999998,97.367
2.205,2.2963,109.91
2.475,2.9161999999999995,50.849
6.9975,2.4177999999999997,176.6
1.6875,1.7616000000000003,155.56
9.72,2.7769999999999997,178.61
1.35,1.2574000000000003,42.65
2.115,1.5333000000000008,159.56
1.26,1.952,24.898000000000003
12.555,1.8366000000000005,3.4391
13.613,2.1783,175.62
2.07,3.073999999999999,23.281
1.8675,1.1712999999999998,133.66
1.125,5.5051,89.10700000000001
1.3725,1.9167000000000003,81.475
77.467,4.067800000000001,168.29
87.99700000000001,1.4684999999999997,133.98
2.115,1.8702,169.96
1.6425,1.4597000000000002,41.677
4.545,1.2816,160.18
17.302,1.5638000000000003,178.34
62.46,5.105500000000002,178.55
6.3675,1.7915,170.82
5.1525,2.459400000000001,20.503
4.23,1.4706999999999997,119.25
2.4975,2.6804,19.775
57.083,1.6138000000000001,71.178
90.135,1.2906000000000002,158.21
26.01,1.8722999999999999,30.893
60.93,1.9883999999999993,38.414
1.2825,1.3961,32.754
6.2775,1.4953999999999996,156.01
4.6125,1.5525999999999998,67.263
1.935,2.0634,170.5
16.92,1.3128999999999997,177.24
1.035,2.8556,10.94
1.5525,2.0409999999999995,19.579
7.02,2.477899999999999,4.9414
26.1,2.3180999999999994,176.24
19.035,3.0030999999999994,3.4135
1.17,1.1309999999999998,31.777
43.537,1.5636000000000003,10.2
3.5775,1.8216000000000008,15.871
9.0225,2.2085000000000004,57.129
1.305,1.5369,172.79
14.085,1.4389999999999998,100.04
2.025,2.5046000000000004,0.039
2.0475,1.6513000000000004,162.59
4.4325,1.3595000000000002,57.786
3.1275,1.1816000000000002,165.38
3.1275,1.0721,150.18
41.49,2.4581,178.06
1.98,1.7336999999999998,15.602
3.465,1.8257000000000003,177.39
70.313,1.6688000000000005,158.85
38.295,2.3007999999999997,22.407
1.845,3.1108000000000007,165.98
1.5525,2.1543000000000005,156.76
22.32,1.4052000000000002,175.46
12.555,2.103100000000001,165.22
1.98,2.3389000000000006,143.91
1.08,3.6284,87.65899999999998
3.735,1.8318000000000003,11.433
16.02,1.0540000000000003,35.076
2.6775,1.8199999999999998,9.611
4.995,1.6515999999999997,60.859
20.205,2.1188,10.294
5.85,1.5175999999999998,175.08
51.548,1.9864,17.491
82.912,1.607,25.359
30.78,2.1015000000000006,2.4278
7.47,1.1342000000000003,4.1392
2.295,1.9884000000000002,15.62
3.735,1.5144,153.15
1.98,2.0990000000000006,33.634
30.105,2.0,27.588
54.518,1.9496999999999998,175.86
5.7825,1.0502,137.56
29.272,1.4388,174.31
1.53,1.4439999999999997,169.6
71.325,2.5288999999999997,31.681
1.98,1.2942,45.17100000000001
2.07,1.5545000000000009,52.779
15.12,1.7121000000000004,160.05
3.8475,1.3831999999999998,36.567
11.993,1.3525,54.166
3.555,1.3701999999999999,4.253
7.1775,1.5499,29.595
