a,b,c,volume
0.98431,0.57428,0.98431,2.3307
0.89699,0.31464,0.89699,1.0604
1.6496,1.7733,1.6496,20.214
1.8058,1.0634,1.8058,14.525
1.5224,1.3738,1.5224,13.337
0.8266,0.6961,0.8266,1.9923
2.387,1.0154,2.387,24.235
1.9697,0.99229,1.9697,16.126
1.2483,0.62517,1.2483,4.0809
1.7382,0.80775,1.7382,10.223
1.081,0.74871,1.081,3.6647
1.6837,0.83906,1.6837,9.9632
1.1292,0.69953,1.1292,3.736
1.4886,1.1135,1.4886,10.336
0.98759,0.39914,0.98759,1.6307
1.5267,0.79503,1.5267,7.7621
1.1785,0.77923,1.1785,4.533
6.76,4.6026,6.76,881.03
2.0209,1.2398,2.0209,21.21
1.8198,0.84344,1.8198,11.7
2.3751,1.6401,2.3751,38.753
2.1988,1.8875,2.1988,38.224
1.2051,0.96393,1.2051,5.8642
1.0598,0.68569,1.0598,3.2257
1.5895,1.1148,1.5895,11.797
1.1498,0.48753,1.1498,2.6999
1.3869,0.71673,1.3869,5.7748
2.2253,1.1052,2.2253,22.926
0.60137,0.4634,0.60137,0.70199
1.0351,0.49403,1.0351,2.2171
1.5859,0.98795,1.5859,10.408
1.004,1.2151,1.004,5.131
0.88379,0.69723,0.88379,2.2812
1.5591,0.94394,1.5591,9.6115
1.7106,1.0798,1.7106,13.234
