a,b,c,volume
5.0592,3.1423,5.0592,336.9
2.1322,1.3243,2.1322,25.219
1.371,0.85153,1.371,6.7045
2.1884,1.3592,2.1884,27.268
2.8879,1.7937,2.8879,62.662
3.8161,2.3702,3.8161,144.59
0.93767,0.58239,0.93767,2.1449
8.9674,5.5696,8.9674,1876.1
1.8448,1.1458,1.8448,16.335
1.8169,1.1285,1.8169,15.604
1.573,0.97701,1.573,10.126
4.3591,2.7074,4.3591,215.49
2.4249,1.5061,2.4249,37.098
6.4768,4.0227,6.4768,706.86
2.5118,1.5601,2.5118,41.231
1.4547,0.9035,1.4547,8.0085
2.885,1.7919,2.885,62.472
1.8592,1.1548,1.8592,16.72
2.6737,1.6606,2.6737,49.725
1.7053,1.0592,1.7053,12.902
10.238,6.3588,10.238,2791.8
