a,b,c,alpha,phi1,PHI,phi2,GrainID
0.21506,0.12828,0.21506,113.54,27.698,113.42,92.641,1
0.19905,0.077617,0.19905,13.858,315.61,153.93,41.395,2
0.23381,0.1579,0.23381,90,274.81,89.825,210.15,3
0.19905,0.077617,0.19905,166.14,17.886,75.426,62.443,4
0.23455,0.13211,0.23455,81.745,335.61,124.79,208.57,5
0.19905,0.077617,0.19905,166.14,21.074,112.94,153.38,6
0.15669,0.084092,0.15669,82.312,222.67,64.802,245.57,7
0.24089,0.15123,0.24089,85.422,359.91,145.51,83.885,8
0.25688,0.085668,0.25688,91.604,304.51,127.55,53.255,9
0.33248,0.17506,0.33248,119.73,304.77,84.553,102.53,10
0.23381,0.1579,0.23381,90,222.92,121.91,118.16,11
0.18953,0.11746,0.18953,3.4116e-11,334.18,13.099,152.6,12
0.23455,0.13211,0.23455,98.255,76.797,147.23,275.48,13
0.10395,0.094927,0.10395,120.85,247.53,70.707,353.61,14
0.23412,0.096691,0.23412,4.4356,35.081,112.97,37.051,15
0.25688,0.085668,0.25688,88.396,226.21,116.6,112.93,16
0.13504,0.096435,0.13504,57.457,280.99,80.428,121.8,17
0.23455,0.13211,0.23455,81.745,257.79,72.913,197.74,18
0.18953,0.11746,0.18953,1.0029e-10,198.81,44.314,135.92,19
0.23381,0.1579,0.23381,90,314.79,109.51,334.47,20
0.21394,0.12055,0.21394,3.9005,17.778,135.27,222.36,21
0.24089,0.15123,0.24089,94.578,263.74,130.81,343.8,22
0.36283,0.19156,0.36283,116.71,29.435,106.12,120.52,23
0.23588,0.1277,0.23588,88.253,54.543,113.59,111.55,24
0.23116,0.078882,0.23116,12.388,253.41,16.307,205.17,25
0.36283,0.19156,0.36283,63.293,281.39,44.032,171.75,26
0.24089,0.15123,0.24089,85.422,315.06,31.221,251.61,27
0.23266,0.12441,0.23266,5.7177e-12,317.91,69.053,200.38,28
0.23381,0.1579,0.23381,90,101.51,135.23,279.59,29
0.35977,0.17705,0.35977,62.444,208.62,79.356,329.97,30
0.48925,0.16638,0.48925,88.443,74.567,122.86,101.69,31
0.23412,0.096691,0.23412,175.56,6.6828,27.836,130.16,32
0.3142,0.19053,0.3142,113.5,181.51,81.671,136.99,33
0.23266,0.12441,0.23266,180,260.99,93.998,205.15,34
0.36283,0.19156,0.36283,63.293,108.65,82.651,272.29,35
0.24089,0.15123,0.24089,85.422,344.01,130.96,221.8,36
0.22583,0.13555,0.22583,83.837,132.84,133.12,251.06,37
0.23266,0.12441,0.23266,180,54.988,113.3,202.85,38
0.23381,0.1579,0.23381,90,266.39,131.87,165.79,39
0.23266,0.12441,0.23266,180,55.052,112.6,202.53,40
0.23455,0.13211,0.23455,98.255,30.748,104.28,121.22,41
0.07517,0.056613,0.07517,180,231.85,142.92,156.5,42
0.19905,0.077617,0.19905,13.858,235.4,66.85,158.08,43
0.15558,0.096246,0.15558,78.436,259.54,61.481,212.81,44
0.16501,0.069365,0.16501,90,42.294,119.04,206.61,45
0.14835,0.12472,0.14835,90,303.73,136.99,13.408,46
0.15751,0.15751,0.15751,90.275,127.04,65.944,57.974,47
0.13768,0.10935,0.13768,180,319.77,43.457,192.9,48
0.11776,0.10209,0.11776,120,23.808,144.58,236.21,49
0.11776,0.10209,0.11776,2.3302e-10,43.659,134.11,92.043,50
0.15558,0.096246,0.15558,161.56,304.81,81.314,283.97,51
0.11776,0.10209,0.11776,120,90.091,36.322,88.121,52
0.15782,0.11486,0.15782,30,148.22,93.256,296.28,53
0.14835,0.12472,0.14835,150,320.16,151.76,86.135,54
0.15782,0.11486,0.15782,90,335.26,133.93,65.685,55
0.16422,0.11267,0.16422,120,232.1,141.9,158.65,56
0.16068,0.13477,0.16068,60,57.964,150.82,165.64,57
0.16068,0.13477,0.16068,120,347.21,63.382,96.847,58
0.15751,0.15751,0.15751,180,160.12,80.078,302.48,59
0.13768,0.10935,0.13768,120,269.1,136.41,174.43,60
0.14835,0.12472,0.14835,150,159.27,79.782,303.07,61
0.15751,0.15751,0.15751,180,183.23,82.409,136.79,62
0.15782,0.11486,0.15782,30,159.23,80.021,304.1,63
0.14835,0.12472,0.14835,90,187.65,151.52,140.34,64
0.13768,0.10935,0.13768,120,234.09,144.27,162.13,65
0.16068,0.13477,0.16068,180,225.31,24.744,233.21,66
